Aexp.lean:45	theorem gexp_entry_le	theorem gexp_entry_le {i p : ℕ} (hlen : j0 + Lb + 1 = M.length) (hn : 0 < n) (hLb : 0 < Lb) (hp : p ≤ j0) : entry (gexp M j0 Lb d0 d1 n) i p = entry M i p	接頭辞（`j0` を含む）では `gexp` の値は `M` の値。
Aexp.lean:58	theorem amin_gexp_mir	theorem amin_gexp_mir {k q : ℕ} (hlen : j0 + Lb + 1 = M.length) (hLb : 0 < Lb) (hk : k < n) (hq : q < Lb) (hup : ∀ l, j0 < l → l ≤ j0 + Lb → entry M 0 j0 < entry M 0 l) (hd0pos : 0 < d0) (hd0e : entry M 0 (j0 + Lb) = entry M 0 j0 + d0) (hrow1 : amin M j0 ≤ amin M (j0 + Lb)) : amin (gexp M j0 Lb d0 d	**(A2), 上昇コピー相**: 鏡映位置は元の列と同じ `amin` をもつ。側条件 `hrow1` は「ブロックの行 0 鎖が根より行 1 の最小値を下げない」。
Aexp.lean:138	theorem amin_gexp_mir_flat	theorem amin_gexp_mir_flat {k q : ℕ} (hlen : j0 + Lb + 1 = M.length) (hLb : 0 < Lb) (hk : k < n) (hq : q < Lb) (hup : ∀ l, j0 < l → l ≤ j0 + Lb → entry M 0 j0 < entry M 0 l) : amin (gexp M j0 Lb 0 0 n) (j0 + (k * Lb + q)) = amin M (j0 + q)	**(A2), 平坦相**: コピーが完全に同一のとき、鏡映位置は元の列と同じ `amin` をもつ。コピー `k` の根の接頭辞側の祖先は宿主の根 `j0` の祖先そのもの。
Aexp.lean:215	theorem rtg0_of_rtg1	theorem rtg0_of_rtg1 {X : TrioSeq} {a b : ℕ} (h : Relation.ReflTransGen (nextrel1 X) a b) : Relation.ReflTransGen (nextrel0 X) a b	
Aexp.lean:224	theorem amin_oper_mir	theorem amin_oper_mir {M : TrioSeq} {n j0 Lb k q : ℕ} (hlen : j0 + Lb + 1 = M.length) (hLb : 0 < Lb) (hn : 0 < n) (hz : ¬ (entry M 0 (M.length - 1) = 0 ∧ entry M 1 (M.length - 1) = 0 ∧ entry M 2 (M.length - 1) = 0)) (hp : hasParent M (srow M (M.length - 1)) (M.length - 1)) (hj0 : parent M (srow M (M	**(A2)**: 展開のコピー列は元の列と同じ `amin` をもつ。
Aexp.lean:280	theorem slift_take	theorem slift_take {A : TrioSeq} {φ : ℕ → ℕ} {l : ℕ} (hl : l ≤ A.length) : slift (A.take l) φ = (slift A φ).take l	
Aexp.lean:299	theorem slift_dropLast	theorem slift_dropLast {A : TrioSeq} {φ : ℕ → ℕ} : slift A.dropLast φ = (slift A φ).dropLast	
Aexp.lean:307	theorem slift_oper_main	theorem slift_oper_main {A : TrioSeq} {φ : ℕ → ℕ} {n j0 Lb d0 d1 : ℕ} (hφ : Stair φ) (hlen : j0 + Lb + 1 = A.length) (hLb : 0 < Lb) (hn : 0 < n) (hz : ¬ (entry A 0 (A.length - 1) = 0 ∧ entry A 1 (A.length - 1) = 0 ∧ entry A 2 (A.length - 1) = 0)) (hp : hasParent A (srow A (A.length - 1)) (A.length -	**(G2) の主分岐**: 展開が `gexp` になる場合。分岐データ `j0 / Lb / d0 / d1` は両辺で共通（呼び出し側が `hAn` / `hBn` で供給する）。
Aexp.lean:383	theorem oper_zero_take	theorem oper_zero_take {X : TrioSeq} (hL : X.length - 1 ≠ 0) (hz : ¬ (entry X 0 (X.length - 1) = 0 ∧ entry X 1 (X.length - 1) = 0 ∧ entry X 2 (X.length - 1) = 0)) (hp : hasParent X (srow X (X.length - 1)) (X.length - 1)) : X⟦0⟧ = X.take (parent X (srow X (X.length - 1)) (X.length - 1))	`n = 0` の展開はバッドルートまでの切り詰め。
Aexp.lean:394	theorem slift_oper	theorem slift_oper {A : TrioSeq} {φ : ℕ → ℕ} (hφ : Stair φ) (n : ℕ) : slift (A⟦n⟧) φ = (slift A φ)⟦n⟧	**(G2)**: 階段リフトは展開と可換（無条件、probe 0/28239）。
Aexp.lean:503	theorem rtg0_Lift1	theorem rtg0_Lift1 {X : TrioSeq} {d a b : ℕ} : Relation.ReflTransGen (nextrel0 (Lift1 X d)) a b ↔ Relation.ReflTransGen (nextrel0 X) a b	
Aexp.lean:516	theorem argOK_mlift	theorem argOK_mlift {R : TrioSeq} (hR : argOK R) (v d : ℕ) : argOK (mlift R v d)	
Aexp.lean:530	theorem coneV_Lift1_cons	theorem coneV_Lift1_cons {R : TrioSeq} (hR : argOK R) {v z d j : ℕ} (hd : 0 < d) (hj : j < (((0, v, z) : ℕ × ℕ × ℕ) :: R).length) : coneV (Lift1 (((0, v, z) : ℕ × ℕ × ℕ) :: R) d) v j ↔ le1 (((0, v, z) : ℕ × ℕ × ℕ) :: R) 0 j	**リフト済みブロックの環境マスクは根の錐**（`0 < d`）。
Aexp.lean:568	theorem mlift_Lift1_cons	theorem mlift_Lift1_cons {R : TrioSeq} (hR : argOK R) {v z d e : ℕ} (hd : 0 < d) : mlift (Lift1 (((0, v, z) : ℕ × ℕ × ℕ) :: R) d) v e = Lift1 (((0, v, z) : ℕ × ℕ × ℕ) :: R) (d + e)	**(ML)**: 環境マスクリフトは根リフトに吸収される。
Aexp.lean:591	theorem amin_zero	theorem amin_zero (A : TrioSeq) : amin A 0 = entry A 1 0	**(ML)**: 環境マスクリフトは根リフトに吸収される。 theorem mlift_Lift1_cons {R : TrioSeq} (hR : argOK R) {v z d e : ℕ} (hd : 0 < d) : mlift (Lift1 (((0, v, z) : ℕ × ℕ × ℕ) :: R) d) v e = Lift1 (((0, v, z) : ℕ × ℕ × ℕ) :: R) (d + e) := by set N : TrioSeq := ((0, v, z) : ℕ × ℕ × ℕ) :: R with hN refine List.ext_getElem (by simp) ?_ intro i hi1 hi2 rw [mlift_length, Lift1_length] at hi1 rw [← entry_triple (X := mlift (Li
Aexp.lean:596	theorem slift_singleton	theorem slift_singleton (b c : ℕ) {φ : ℕ → ℕ} (hφ : Stair φ) : slift [((0, b, c) : ℕ × ℕ × ℕ)] φ = [((0, φ b, c) : ℕ × ℕ × ℕ)]	
Aexp.lean:626	theorem coneV_cons_iff	theorem coneV_cons_iff {S : TrioSeq} (hS : argOK S) {B z v j : ℕ} (hj : j < S.length) : coneV (((0, B, z) : ℕ × ℕ × ℕ) :: S) v (1 + j) ↔ (v < B ∧ coneV S v j)	
Aexp.lean:659	theorem amin_cons	theorem amin_cons {S : TrioSeq} (hS : argOK S) {B z j : ℕ} (hj : j < S.length) : amin (((0, B, z) : ℕ × ℕ × ℕ) :: S) (1 + j) = min B (amin S j)	
Aexp.lean:668	theorem slift_cons_plant	theorem slift_cons_plant {S : TrioSeq} (hS : argOK S) {B z : ℕ} {φ : ℕ → ℕ} (hφ : Stair φ) : slift (((0, B, z) : ℕ × ℕ × ℕ) :: S) φ = ((0, φ B, z) : ℕ × ℕ × ℕ) :: slift S (fun m => m + (φ (min B m) - min B m))	**植えブロックの階段リフト**: 根は `φ B` に動き、尾部にはキャップした 階段が効く。
ArgDom.lean:19	def hshift	def hshift (w1 e f : ℕ) : TrioSeq → TrioSeq | [] => [] | p :: rest => if w1 < p.2.1 then (p.1 + e, p.2.1 + f, p.2.2) :: (hshift w1 e f (rest.takeWhile fun q => p.1 < q.1)	The heartwood shift: row 0 uniformly `+e`; row 1 `+f` on the heartwood (the tree region reachable through columns with row 1 above `w1`).
ArgDom.lean:39	theorem hshift_cons	theorem hshift_cons (w1 e f : ℕ) (p : ℕ × ℕ × ℕ) (rest : TrioSeq) : hshift w1 e f (p :: rest) = if w1 < p.2.1 then (p.1 + e, p.2.1 + f, p.2.2) :: (hshift w1 e f (rest.takeWhile fun q => p.1 < q.1) ++ hshift w1 e f (rest.dropWhile fun q => p.1 < q.1))	
ArgDom.lean:53	theorem hshift_gseg	theorem hshift_gseg {M : TrioSeq} {r e f : ℕ} : ∀ (l : ℕ), ∀ {a pa : ℕ}, le1 M r pa → pa < a → a + l ≤ M.length → (∀ j, a ≤ j → j < a + l → entry M 0 pa < entry M 0 j) → (∀ j, pa < j → j < a → entry M 0 a ≤ entry M 0 j) → (List.range' a l).map (fun j => ((entry M 0 j + e,	**The host bridge**: inside a host `M`, the heartwood shift of a sibling forest `[a, a+l)` under a guarded tree parent `pa` is the guarded map.
ArgDom.lean:159	theorem seqlex_of_sle_not_prefix	theorem seqlex_of_sle_not_prefix : ∀ {W X Y : TrioSeq}, sle X (W ++ Y) → (∀ X', X ≠ W ++ X') → ∀ (Y' : TrioSeq), seqlex X (W ++ Y')	
ArgDom.lean:184	theorem sle_take_of_short	theorem sle_take_of_short : ∀ {P X Y : TrioSeq}, sle X (P ++ Y) → X.length ≤ P.length → sle X P	A comparison that is already over by the end of `P` does not see `Y`.
ArgDom.lean:216	theorem sle_of_append_left	theorem sle_of_append_left {X Y W : TrioSeq} (h : sle (X ++ Y) W) : sle X W	Truncating the smaller side on the right keeps it below.
ArgDom.lean:225	theorem hshift_f0	theorem hshift_f0 (w1 e : ℕ) : ∀ A : TrioSeq, hshift w1 e 0 A = shiftr01 e 0 A | [] => by	`hshift` with a zero row-1 lift is the uniform row-0 shift.
ArgDom.lean:247	def SpineOK	def SpineOK (A : TrioSeq) (L w : ℕ) : Prop	Right-visible columns of `A` below level `L` carry row 1 at least `w`.
ArgDom.lean:255	def ArgDomCore	def ArgDomCore : Prop	**The host-free core of trio Bachmann cofinality** (probe: 57549 instances, 0 violations). Two columns with the *same* label rows `(w1+·, z)` at depths `u` and `u+e`, row-1 siblings via `SpineOK`; the deeper argument `B` is dominated by the heartwood shift of the shallower argument.
ArgDom.lean:269	theorem shiftr01_append	theorem shiftr01_append (d0 d1 : ℕ) (A B : TrioSeq) : shiftr01 d0 d1 (A ++ B) = shiftr01 d0 d1 A ++ shiftr01 d0 d1 B	**The host-free core of trio Bachmann cofinality** (probe: 57549 instances, 0 violations). Two columns with the *same* label rows `(w1+·, z)` at depths `u` and `u+e`, row-1 siblings via `SpineOK`; the deeper argument `B` is dominated by the heartwood shift of the shallower argument. def ArgDomCore : Prop := ∀ {X A1 B A2 Z : TrioSeq} {u w1 z e f : ℕ}, ST_TS ((X ++ (u, w1, z) :: (A1 ++ (u + e, w1 + 
ArgDom.lean:273	theorem shiftr01_injective	theorem shiftr01_injective (d0 d1 : ℕ) {X Y : TrioSeq} (h : shiftr01 d0 d1 X = shiftr01 d0 d1 Y) : X = Y	
ArgDom.lean:292	theorem collt_shiftr01	theorem collt_shiftr01 (d0 d1 : ℕ) {p q : ℕ × ℕ × ℕ} : collt ((p.1 + d0, p.2.1 + d1, p.2.2)) ((q.1 + d0, q.2.1 + d1, q.2.2)) ↔ collt p q	
ArgDom.lean:299	theorem seqlex_shiftr01	theorem seqlex_shiftr01 (d0 d1 : ℕ) : ∀ {X Y : TrioSeq}, seqlex (shiftr01 d0 d1 X) (shiftr01 d0 d1 Y) ↔ seqlex X Y	
ArgDom.lean:325	theorem sle_shiftr01	theorem sle_shiftr01 (d0 d1 : ℕ) {X Y : TrioSeq} : sle (shiftr01 d0 d1 X) (shiftr01 d0 d1 Y) ↔ sle X Y	
ArgDom.lean:338	theorem shiftr01_copies	theorem shiftr01_copies (d0 d1 : ℕ) (blk : TrioSeq) (n : ℕ) : shiftr01 d0 d1 (copies d0 d1 blk n) = copies d0 d1 (shiftr01 d0 d1 blk) n	`shiftr01` commutes with the copy tower.
